,gameId,playId,nflId,displayName,frameId,time,jerseyNumber,club,playDirection,x,y,s,a,dis,o,dir,event,ballCarrierId,ballCarrierDisplayName,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,passResult,passLength,penaltyYards,prePenaltyPlayResult,playResult,playNullifiedByPenalty,absoluteYardlineNumber,offenseFormation,defendersInTheBox,passProbability,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,expectedPoints,expectedPointsAdded,foulName1,foulName2,foulNFLId1,foulNFLId2
0,2022090800,56,35472.0,Rodger Saffold,1,2022-09-08 20:24:05.200000,76.0,BUF,left,88.37,27.27,1.62,1.15,0.16,231.74,147.9,,42489,Stefon Diggs,(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).,1,1,10,BUF,LA,BUF,25,15:00,0,0,C,5.0,,6,6,N,85,SHOTGUN,6.0,0.689960361,0.413346943,0.586653057,-3.12e-05,3.12e-05,1.298698674,0.004420402,,,,
1,2022090800,56,35472.0,Rodger Saffold,2,2022-09-08 20:24:05.299999,76.0,BUF,left,88.47,27.13,1.67,0.61,0.17,230.98,148.53,pass_arrived,42489,Stefon Diggs,(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).,1,1,10,BUF,LA,BUF,25,15:00,0,0,C,5.0,,6,6,N,85,SHOTGUN,6.0,0.689960361,0.413346943,0.586653057,-3.12e-05,3.12e-05,1.298698674,0.004420402,,,,
2,2022090800,56,35472.0,Rodger Saffold,3,2022-09-08 20:24:05.400000,76.0,BUF,left,88.56,27.01,1.57,0.49,0.15,230.98,147.05,,42489,Stefon Diggs,(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).,1,1,10,BUF,LA,BUF,25,15:00,0,0,C,5.0,,6,6,N,85,SHOTGUN,6.0,0.689960361,0.413346943,0.586653057,-3.12e-05,3.12e-05,1.298698674,0.004420402,,,,
3,2022090800,56,35472.0,Rodger Saffold,4,2022-09-08 20:24:05.500000,76.0,BUF,left,88.64,26.9,1.44,0.89,0.14,232.38,145.42,,42489,Stefon Diggs,(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).,1,1,10,BUF,LA,BUF,25,15:00,0,0,C,5.0,,6,6,N,85,SHOTGUN,6.0,0.689960361,0.413346943,0.586653057,-3.12e-05,3.12e-05,1.298698674,0.004420402,,,,
4,2022090800,56,35472.0,Rodger Saffold,5,2022-09-08 20:24:05.599999,76.0,BUF,left,88.72,26.8,1.29,1.24,0.13,233.36,141.95,,42489,Stefon Diggs,(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).,1,1,10,BUF,LA,BUF,25,15:00,0,0,C,5.0,,6,6,N,85,SHOTGUN,6.0,0.689960361,0.413346943,0.586653057,-3.12e-05,3.12e-05,1.298698674,0.004420402,,,,
5,2022090800,56,35472.0,Rodger Saffold,6,2022-09-08 20:24:05.700000,76.0,BUF,left,88.8,26.7,1.15,1.42,0.12,234.48,139.41,pass_outcome_caught,42489,Stefon Diggs,(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).,1,1,10,BUF,LA,BUF,25,15:00,0,0,C,5.0,,6,6,N,85,SHOTGUN,6.0,0.689960361,0.413346943,0.586653057,-3.12e-05,3.12e-05,1.298698674,0.004420402,,,,
6,2022090800,56,35472.0,Rodger Saffold,7,2022-09-08 20:24:05.799999,76.0,BUF,left,88.87,26.64,0.93,1.69,0.09,235.77,134.32,,42489,Stefon Diggs,(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).,1,1,10,BUF,LA,BUF,25,15:00,0,0,C,5.0,,6,6,N,85,SHOTGUN,6.0,0.689960361,0.413346943,0.586653057,-3.12e-05,3.12e-05,1.298698674,0.004420402,,,,
7,2022090800,56,35472.0,Rodger Saffold,8,2022-09-08 20:24:05.900000,76.0,BUF,left,88.91,26.59,0.68,1.74,0.07,240.0,131.01,,42489,Stefon Diggs,(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).,1,1,10,BUF,LA,BUF,25,15:00,0,0,C,5.0,,6,6,N,85,SHOTGUN,6.0,0.689960361,0.413346943,0.586653057,-3.12e-05,3.12e-05,1.298698674,0.004420402,,,,
8,2022090800,56,35472.0,Rodger Saffold,9,2022-09-08 20:24:06.000000,76.0,BUF,left,88.94,26.57,0.42,1.74,0.04,243.56,122.29,,42489,Stefon Diggs,(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).,1,1,10,BUF,LA,BUF,25,15:00,0,0,C,5.0,,6,6,N,85,SHOTGUN,6.0,0.689960361,0.413346943,0.586653057,-3.12e-05,3.12e-05,1.298698674,0.004420402,,,,
9,2022090800,56,35472.0,Rodger Saffold,10,2022-09-08 20:24:06.099999,76.0,BUF,left,88.95,26.58,0.14,1.83,0.01,246.07,85.87,,42489,Stefon Diggs,(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).,1,1,10,BUF,LA,BUF,25,15:00,0,0,C,5.0,,6,6,N,85,SHOTGUN,6.0,0.689960361,0.413346943,0.586653057,-3.12e-05,3.12e-05,1.298698674,0.004420402,,,,
